2024-03-24 19:12:26 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:26 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:27 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:27 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:28 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:28 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:29 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:29 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:30 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:31 INFO  TestBase:88 - Finding element: null
2024-03-24 19:12:31 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:18 INFO  TestBase:37 - Launching Edge browser
2024-03-24 19:16:23 INFO  TestBase:30 - Loading the page
2024-03-24 19:16:23 INFO  TestBase:40 - Navigating to url : https://www.saucedemo.com/
2024-03-24 19:16:24 INFO  TestBase:46 - Successfully navigated to url : https://www.saucedemo.com/
2024-03-24 19:16:24 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:24 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (395d2ad33ba90a75c460d895699d959e)] -> css selector: input#user-name]
2024-03-24 19:16:24 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:24 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (395d2ad33ba90a75c460d895699d959e)] -> css selector: input#user-name]
2024-03-24 19:16:25 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:25 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (395d2ad33ba90a75c460d895699d959e)] -> css selector: input#password]
2024-03-24 19:16:25 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:25 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (395d2ad33ba90a75c460d895699d959e)] -> css selector: input#password]
2024-03-24 19:16:26 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:26 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (395d2ad33ba90a75c460d895699d959e)] -> css selector: input#login-button]
2024-03-24 19:16:26 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:26 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (395d2ad33ba90a75c460d895699d959e)] -> css selector: input#login-button]
2024-03-24 19:16:26 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:26 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (395d2ad33ba90a75c460d895699d959e)] -> css selector: input#login-button]
2024-03-24 19:16:26 INFO  TestBase:88 - Finding element: null
2024-03-24 19:16:26 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (395d2ad33ba90a75c460d895699d959e)] -> css selector: select.product_sort_container]
2024-03-24 19:16:26 INFO  TestBase:88 - Finding element: null
